code,name,risk_source,amount
515320,电子50ETF华安,科技成长,22223546
515290,银行ETF天弘,金融,44405069
515260,电子ETF华宝,科技成长,88578258
515230,软件ETF国泰,科技成长,227272783
515220,煤炭ETF国泰,周期资源,936705245
515210,钢铁ETF国泰,周期资源,121457377
515170,食品饮料ETF华夏,消费,115491310
515120,创新药ETF广发,医药,426013097
515070,人工智能ETF华夏,科技成长,311533054
515050,通信ETF华夏,科技成长,1167944368
515030,新能源车ETF华夏,周期资源,201055070
515020,银行ETF华夏,金融,108086455
515010,证券ETF华夏,金融,59742237
513780,港股创新药ETF景顺,医药,329319413
513750,港股通非银ETF广发,金融,780130440
513700,港股通医药ETF鹏华,医药,63152567
513620,港股医疗ETF银华,医药,4256393
513590,港股通消费ETF鹏华,消费,10355184
513310,中韩半导体ETF华泰柏瑞,科技成长,6398556835
513240,港股通信息技术ETF华安,科技成长,226296108
513230,港股通消费ETF华夏,消费,31155642
513200,港股通医药ETF易方达,医药,245802216
513190,港股通金融ETF华夏,金融,357697609
513140,港股通金融ETF华泰柏瑞,金融,42055227
513120,港股创新药ETF广发,医药,3355346909
513090,香港证券ETF易方达,金融,4458726205
513070,港股通消费ETF易方达,消费,106133279
512940,有色ETF华安,周期资源,64113505
512930,AI人工智能ETF平安,科技成长,179855466
512900,证券ETF南方,金融,39960538
512880,证券ETF国泰,金融,2491566922
512820,银行ETF汇添富,金融,72965194
512810,军工ETF华宝,军工,46740009
512800,银行ETF华宝,金融,861982889
512760,芯片ETF国泰,科技成长,715885286
512730,银行ETF鹏华,金融,6058768
512720,计算机ETF国泰,科技成长,94634239
512710,军工龙头ETF富国,军工,424897975
512700,银行ETF南方,金融,93670029
512690,酒ETF鹏华,消费,840705534
512680,军工ETF广发,军工,70382876
512670,国防ETF鹏华,军工,155735981
512660,军工ETF国泰,军工,464773160
512640,金融地产ETF嘉实,金融,2694790
512620,农业ETF天弘,消费,8753052
512600,消费ETF嘉实,消费,6064573
512570,证券ETF易方达,金融,156206926
512560,军工ETF易方达,军工,48838951
512480,半导体ETF国联安,科技成长,2169576784
512450,畜牧养殖ETF广发,消费,5704285
512430,家居家电ETF华泰柏瑞,消费,2075187
512400,有色金属ETF南方,周期资源,1222480512
512290,生物医药ETF国泰,医药,96108079
512170,医疗ETF华宝,医药,561963164
512120,医药ETF华安,医药,8146097
512070,证券保险ETF易方达,金融,573962495
512010,医药ETF易方达,医药,445543068
512000,券商ETF华宝,金融,1394146050
510660,医药ETF华夏,医药,11467460
510650,金融地产ETF华夏,金融,910212
510630,消费ETF华夏,消费,35824188
510410,资源ETF博时,周期资源,12503322
510230,金融ETF国泰,金融,60786438
510200,上证券商ETF汇安,金融,4072977
510150,消费ETF招商,消费,33641028
