date,nav
2023-01-09,154482.19723339335
2023-01-10,154494.45772523727
2023-01-11,154506.7191901361
2023-01-12,154518.98162816706
2023-01-13,154531.2450394074
2023-01-16,154543.50942393433
2023-01-17,154555.77478182514
2023-01-18,154568.04111315703
2023-01-19,154580.30841800728
2023-01-20,154592.57669645315
2023-01-30,154604.84594857192
2023-01-31,154617.11617444086
2023-02-01,154629.38737413724
2023-02-02,154641.65954773835
2023-02-03,154653.9326953215
2023-02-06,154666.206816964
2023-02-07,154678.48191274313
2023-02-08,154690.75798273622
2023-02-09,154703.03502702058
2023-02-10,154715.31304567354
2023-02-13,154727.59203877242
2023-02-14,154739.87200639455
2023-02-15,154752.1529486173
2023-02-16,154764.43486551798
2023-02-17,154776.717757174
2023-02-20,154789.00162366265
2023-02-21,154801.28646506136
2023-02-22,154813.57228144747
2023-02-23,154825.8590728984
2023-02-24,154838.1468394915
2023-02-27,154850.43558130416
2023-02-28,154862.7252984138
2023-03-01,154875.0159908978
2023-03-02,154887.3076588336
2023-03-03,154899.60030229858
2023-03-06,154911.8939213702
2023-03-07,154924.18851612587
2023-03-08,154936.48408664303
2023-03-09,154948.7806329991
2023-03-10,154961.0781552716
2023-03-13,154973.37665353788
2023-03-14,154985.67612787546
2023-03-15,154997.9765783618
2023-03-16,155010.27800507436
2023-03-17,155022.58040809064
2023-03-20,155034.8837874881
2023-03-21,155047.18814334425
2023-03-22,155059.49347573658
2023-03-23,155071.79978474262
2023-03-24,155084.10707043982
2023-03-27,155096.41533290574
2023-03-28,155108.72457221788
2023-03-29,155121.03478845378
2023-03-30,155133.34598169097
2023-03-31,155145.65815200697
2023-04-03,155157.97129947937
2023-04-04,155170.28542418568
2023-04-06,155182.6005262035
2023-04-07,155194.91660561034
2023-04-10,155207.2336624838
2023-04-11,155219.55169690147
2023-04-12,155231.87070894093
2023-04-13,155244.19069867974
2023-04-14,155256.51166619553
2023-04-17,155268.83361156587
2023-04-18,155281.15653486838
2023-04-19,155293.4804361807
2023-04-20,155305.8053155804
2023-04-21,155318.13117314514
2023-04-24,155330.45800895256
2023-04-25,155342.78582308025
2023-04-26,155355.1146156059
2023-04-27,155367.44438660715
2023-04-28,155379.77513616165
2023-05-04,155392.10686434706
2023-05-05,155404.43957124106
2023-05-08,155416.77325692133
2023-05-09,155429.10792146553
2023-05-10,155441.44356495136
2023-05-11,155453.78018745652
2023-05-12,155466.1177890587
2023-05-15,155478.45636983562
2023-05-16,155490.79592986498
2023-05-17,155503.1364692245
2023-05-18,155515.4779879919
2023-05-19,155527.82048624492
2023-05-22,155540.1639640613
2023-05-23,155552.50842151878
2023-05-24,155564.8538586951
2023-05-25,155577.20027566803
2023-05-26,155589.5476725153
2023-05-29,155601.8960493147
2023-05-30,155614.245406144
2023-05-31,155626.595743081
2023-06-01,155638.94706020347
2023-06-02,155651.29935758922
2023-06-05,155663.65263531602
2023-06-06,155676.0068934617
2023-06-07,155688.36213210403
2023-06-08,155700.71835132086
2023-06-09,155713.07555119
2023-06-12,155725.43373178932
2023-06-13,155737.7928931966
