date,国债ETF,纳指,创业板,黄金,沪深300
2021-05-13,510018.68433817755,510018.68433817744,510018.6843381775,510018.68433817755,
2021-05-14,379789.4112509375,379789.4112509375,379789.4112509375,379789.4112509375,379789.4112509375
2021-05-17,379119.9357015318,379119.9357015318,379119.9357015318,379119.9357015318,379119.93570153177
2021-05-18,384699.83959508874,384699.83959508874,384699.83959508874,384699.83959508874,384699.83959508874
2021-05-19,388705.6974876065,388705.6974876065,388705.6974876065,388705.6974876065,388705.6974876065
2021-05-20,395057.4347410677,395057.4347410677,395057.4347410677,395057.4347410677,395057.4347410677
2021-05-21,418437.1498570874,418437.1498570874,418437.1498570874,418437.1498570874,418437.1498570874
2021-05-24,419429.23396465386,419429.23396465386,419429.23396465386,419429.23396465386,419429.23396465386
2021-05-25,401278.0973727171,401278.0973727171,401278.0973727171,401278.0973727171,401278.0973727171
2021-05-26,425348.88604636956,425348.88604636956,425348.88604636956,425348.88604636956,425348.88604636956
2021-05-27,425242.1029728153,425242.1029728153,425242.10297281534,425242.1029728153,425242.1029728153
2021-05-28,424401.9003925047,424401.9003925047,424401.9003925047,424401.9003925047,424401.9003925047
2021-05-31,426825.3725985729,426825.3725985729,426825.37259857287,426825.3725985729,426825.3725985729
2021-06-01,427593.77604358504,427593.77604358504,427593.77604358504,427593.77604358504,427593.77604358504
2021-06-02,529548.0578987407,,529548.0578987407,529548.0578987407,529548.0578987407
2021-06-03,526404.2093221357,,526404.2093221357,526404.2093221357,526404.2093221357
2021-06-04,527600.9691514366,,527600.9691514366,527600.9691514366,527600.9691514366
2021-06-07,527388.175025685,,527388.175025685,527388.175025685,527388.175025685
2021-06-08,526381.667192386,,526381.667192386,526381.667192386,526381.667192386
2021-06-09,526227.3548886863,,526227.3548886863,526227.3548886863,526227.3548886863
2021-06-10,530077.7464867423,,530077.7464867423,530077.7464867423,530077.7464867423
2021-06-11,530418.6181253616,,530418.6181253616,530418.6181253616,530418.6181253616
2021-06-15,524970.3987433142,,524970.3987433142,524970.3987433142,524970.3987433142
2021-06-16,489891.38652869,,489891.38652869,489891.38652869,489891.38652869
2021-06-17,597485.1310465717,,597485.1310465717,,597485.1310465717
2021-06-18,487053.54826011456,487053.5482601146,487053.5482601146,,487053.5482601146
2021-06-21,521447.230596768,521447.230596768,521447.230596768,,521447.230596768
2021-06-22,523211.6114365195,523211.6114365196,523211.6114365196,,523211.61143651954
2021-06-23,527755.1021205188,527755.1021205188,527755.1021205188,,527755.1021205188
